Anio,Aereo,Apa Qui,Autoconsumos,Autoproductores,Autoconsumos Energía,Bunker,Canales Informales,CF Agropecuario,CF Comercial & Publico,CF Construcciones,CF Industrial,Cf No Identi,Cod Energetico,Con Final,Con No Ener,Con Pro Elec,Con Pro Hidro,Con Pro Hid Extr,Con Pro Hid Mer,Coq Rf,Ct Carboneras,Ct Cen Aut Cog,Ct Cen Elo,Ct Cen Hidro,Ct Cen Plabio,Ct Cen Sol,Ct Cen Ter,Ct Cen Trat,Ct Coquerias,Ct Plan Des,Ct Refinerias,Insumos Transformaciòn,Desc Energetico,Exportaciones,Ext Primaria Prod Trans,Ferroviario,Fluvial,Importacion,No Aprovechados,Oferta Interna Bruta,Oferta Int Con Final,Perdidas,Productos Transformacion,Reinyeccion,Sigla,Tipo Energetico,Total Carretero,Transferencias,Unidades Originales,Var Inventario
2015,0,0,0,0,0,0,0,0,0,0,327.36,0,7,327.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recuperación / Residuos,0,327.36,0,0,0,0,327.36,327.36,0,0,0,RC,Primario,0,0,TJ,0
2015,0,0,0,0,0,0,0,0,0,0,7818859272,0,7,7818859272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recuperación / Residuos,0,7818859272,0,0,0,0,7818859272,7818859272,0,0,0,RC,Primario,0,0,TCal,0
2015,0,0,0,0,0,0,0,0,0,0,9093333333,0,7,9093333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recuperación / Residuos,0,9093333333,0,0,0,0,9093333333,9093333333,0,0,0,RC,Primario,0,0,GWh,0
2015,0,0,0,0,0,0,0,0,0,0,7818859272,0,7,7818859272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recuperación / Residuos,0,7818859272,0,0,0,0,7818859272,7818859272,0,0,0,RC,Primario,0,0,KTEP,0
2015,0,0,0,0,0,0,0,0,0,0,3102773692,0,7,3102773692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Recuperación / Residuos,0,3102773692,0,0,0,0,3102773692,3102773692,0,0,0,RC,Primario,0,0,GBTU,0
2015,0,0,0,0,0,0,0,0,0,0,-1.05,0,11,-1.05,0,0,0,0,0,0,0,0,-68.38,0,-5425.72,0,0,-9.26,0,-2289.06,0,7792.41,OTROS RENOVABLES,0,7792.45,0,0,0,0,7792.45,0.04,0,0,0,OR,Primario,0,0,GWh,0
2015,0,0,0,0,0,0,0,0,0,0,-0.902837489,0,11,-0.902837489,0,0,0,0,0,0,0,0,-5879621668,0,-466527945,0,0,-796216681,0,-1968237317,0,6700266552,OTROS RENOVABLES,0,6700300946,0,0,0,0,6700300946,0.034393809,0,0,0,OR,Primario,0,0,TCal,0
2015,0,0,0,0,0,0,0,0,0,0,-3.78,0,11,-3.78,0,0,0,0,0,0,0,0,-246.168,0,-19532592,0,0,-33.336,0,-8240616,0,28052676,OTROS RENOVABLES,0,28052.82,0,0,0,0,28052.82,0.144,0,0,0,OR,Primario,0,0,TJ,0
2015,0,0.007825768,0,0,0,0,0,0,0,0,148454811,1157300596,19,1883127496,0,0,0,0,0,0.679537485,0,0,0,0,0,0,-1588343874,0,0,0,3004626509,1588343874,Fuel Oil,2131596921,3004626509,0,0,6522777277,0,8795523655,7207166738,0,3004626509,0,FO,Secundario,0,0,KTEP,0
2015,0,0.310551513,0,0,0,0,0,0,0,0,58911622,459253929,19,7472852814,0,0,0,0,0,2696622304,0,0,0,0,0,0,-6303057023,0,0,0,1192331996,6303057023,Fuel Oil,8458859043,1192331996,0,0,258844686,0,3490345388,286003451,0,1192331996,0,FO,Secundario,0,0,GBTU,0
2015,0,1.57,0,0,0,0,0,0,726.73,0,2329.44,920.85,21,8056.26,0,0,0,0,0,2134.1,0,-255.76,0,0,0,0,0,3018.35,0,0,5591.93,255.76,Gas Licuado de Petróleo,228.6,8610.28,0,0,12.39,0,8394.06,8138.3,0,8610.28,0,GL,Secundario,0,0,kBL,0
2015,0,1521051326,0,0,0,0,0,0,704072376,0,2256813886,8921401999,21,780508596,0,0,0,0,0,2067564099,0,-2477860428,0,0,0,0,0,2924245395,0,0,5417587607,2477860428,Gas Licuado de Petróleo,2214728237,8341833002,0,0,1200371079,0,8132354201,7884568158,0,8341833002,0,GL,Secundario,0,0,TCal,0
2015,0,6368337693,0,0,0,0,0,0,2947810224,0,9448828379,3735212589,21,326783339,0,0,0,0,0,865647737,0,-1037430604,0,0,0,0,0,1224323062,0,0,2268235579,1037430604,Gas Licuado de Petróleo,9272624182,3492558641,0,0,5025713631,0,3404854057,3301110997,0,3492558641,0,GL,Secundario,0,0,TJ,0
2015,0,0,0,0,0,0,0,0,0,0,-0.090283749,0,11,-0.090283749,0,0,0,0,0,0,0,0,-5879621668,0,-466527945,0,0,-0.796216681,0,-1968237317,0,6700266552,OTROS RENOVABLES,0,6700300946,0,0,0,0,6700300946,0.003439381,0,0,0,OR,Primario,0,0,KTEP,0
2015,0,1502775208,0,0,0,0,0,0,0,0,2605075,6893071094,16,2767436534,0,0,0,0,0,1088803169,0,-1134345764,0,0,0,0,-1237169614,0,0,0,9432012642,2371521049,Diesel Oil,0,9432012642,0,1012246696,8835819186,0,2032454699,1795303161,0,9432012642,0,DO,Secundario,2004682279,2056715162,TJ,0
2015,0,4174375577,0,0,0,0,0,0,0,0,7236319443,191474197,16,7687323706,0,0,0,0,0,3024453248,0,-3150960457,0,0,0,0,-343658226,0,0,0,2620003512,6587558469,Diesel Oil,0,2620003512,0,2811796379,2454394218,0,5645707497,4986953226,0,2620003512,0,DO,Secundario,5568561886,5713097671,GWh,0
2015,0,0.358931692,0,0,0,0,0,0,0,0,622211474,1646381746,16,6609908604,0,0,0,0,0,0.260056169,0,-2709338312,0,0,0,0,-2954928857,0,0,0,2252797517,5664280713,Diesel Oil,0,2252797517,0,2417709698,2110399156,0,4854434649,4288007933,0,2252797517,0,DO,Secundario,4788101364,4912379769,KTEP,0
